,TIMESTAMP,RECORD,V_batt,FC_mass,FC_QC,FC_samples,LE,LE_QC,LE_samples,H,H_QC,H_samples,NETRAD,G,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,SG_1_1_1,SG_2_1_1,SG_3_1_1,SG_4_1_1,SG_5_1_1,G_plate_1_1_1,G_plate_2_1_1,G_plate_3_1_1,G_plate_4_1_1,G_plate_5_1_1,energy_closure,poor_enrg_clsur,Bowen_ratio,TAU,TAU_QC,USTAR,TSTAR,TKE,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,e_amb,e_sat_amb,TA_1_1_2,RH_1_1_2,T_DP_1_1_2,e,e_sat,TA_1_1_3,RH_1_1_3,T_DP_1_1_3,e_probe,e_sat_probe,H2O_density_probe,PA,VPD,Ux,Ux_SIGMA,Uy,Uy_SIGMA,Uz,Uz_SIGMA,T_SONIC,T_SONIC_SIGMA,sonic_azimuth,WS,WS_RSLT,WD_SONIC,WD_SIGMA,WD,WS_MAX,CO2_density,CO2_density_SIGMA,H2O_density,H2O_density_SIGMA,CO2_sig_strgth_Min,H2O_sig_strgth_Min,P,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_nr_in,T_nr_out,sun_azimuth,sun_elevation,hour_angle,sun_declination,air_mass_coeff,daytime,T_CANOPY,T_SI111_body,TS1_2cm,TS1_6cm,TS2_2cm,TS2_6cm,TS3_2cm,TS3_6cm,TS4_2cm,TS4_6cm,TS5_2cm,TS5_6cm,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWC_4_1_1,SWC_5_1_1,TS_CS65X_1_1_1,TS_CS65X_1_1_2,TS_CS65X_1_1_3,TS_CS65X_1_1_4,TS_CS65X_1_1_5,cs65x_ec_1_1_1,cs65x_ec_1_1_2,cs65x_ec_1_1_3,cs65x_ec_1_1_4,cs65x_ec_1_1_5,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FP_DIST_INTRST,FP_EQUATION,Site,T_nr,R_LW_in_meas,R_LW_out_meas
8910,2025-08-23 00:30:00,7511,11.52199,0.139854,9.0,36000,11.97906,9.0,36000,-5.484592,9.0,36000,-79.79755,-63.73118,-81.76131,-79.1888,-43.27489,-60.01386,-54.41705,-61.36939,-54.48674,-25.11212,-48.1781,-43.34111,-20.39191,-24.70206,-18.16277,-11.83576,-11.07594,3.307172,False,-0.4578483,0.01407035,9.0,0.1089054,0.04190816,0.1375657,20.998,58.47328,12.54692,1.460057,2.496974,21.35085,57.31224,12.56516,1.46179,2.552033,20.85076,61.44429,13.16674,1.52039,2.47452,11.20566,100.6744,10.90243,-0.7003465,0.2448175,-0.002200584,0.4483272,0.03177974,0.1191577,22.72034,0.3317534,256.8,0.8264012,0.7003483,180.18,31.63486,76.62,1.999425,794.0801,7.267038,10.75561,0.1993977,0.889394,0.885507,0.0,0.0,-2.221333,0.2045556,347.861,425.2326,293.6482,294.2052,252.0674,38.12468,49.77976,11.3206,1.609364,1.0,19.06442,20.57088,26.67306,28.07261,27.06414,28.83008,28.21702,30.62479,26.53019,27.39618,26.76878,27.68607,45.36312,37.88603,1.958555,46.33108,40.31567,27.30658,27.3116,29.22256,27.35218,27.28131,1.07203,0.5962589,0.006187778,0.6935844,0.6118922,14.27931,502.9514,63.11314,38.98819,150.0,75.19205,KormannMeixner,BLS_001,,,
8911,2025-08-23 01:00:00,7512,11.52153,0.2118752,9.0,36000,3.973496,9.0,36000,-15.43374,9.0,36000,-77.00134,-62.02876,-76.7269,-75.95896,-37.01297,-62.14441,-58.30056,-54.26954,-49.17753,-17.06199,-48.50967,-45.92089,-22.45736,-26.78143,-19.95098,-13.63474,-12.37968,41.75911,False,-3.884171,0.0464412,9.0,0.1976907,0.06485836,0.2205351,20.45643,60.81087,12.62936,1.468263,2.415065,20.74865,59.79277,12.64451,1.469717,2.459081,20.33837,63.39009,13.15512,1.519517,2.397521,11.2189,100.6665,9.893636,-1.249574,0.4608043,0.1922832,0.4204749,0.08046205,0.2278824,22.12291,0.1927875,256.8,1.327501,1.264282,171.252,17.67626,85.54797,3.71686,765.2382,9.055081,10.83616,0.3101695,0.8885435,0.8845922,0.0,0.0,-2.237333,0.2635556,349.753,424.2534,293.2939,293.8142,257.8318,32.46887,57.28082,11.31346,1.850745,1.0,19.14334,20.12552,26.20941,27.7318,26.66204,28.52625,27.77511,30.3329,26.21709,27.14107,26.41544,27.42182,45.29276,37.71763,1.909111,46.17546,40.22351,27.00437,26.92903,28.86357,27.10713,27.01282,1.061998,0.5889966,0.006117778,0.6880178,0.6073711,14.58427,439.3569,60.37962,37.83986,150.0,76.63262,KormannMeixner,BLS_001,,,
8912,2025-08-23 01:30:00,7513,11.48703,0.06672752,7.0,36000,18.21693,7.0,36000,-11.28703,7.0,36000,-76.19978,-57.89622,-75.13179,-72.0288,-36.13998,-53.32066,-52.85985,-50.66213,-43.50303,-14.69983,-38.02695,-39.35909,-24.46965,-28.52577,-21.44016,-15.2937,-13.50076,-6.48876,True,-0.6195901,0.09796169,1.0,0.2868371,0.03262061,0.3861183,19.84465,64.63526,12.98846,1.502715,2.325617,20.16079,63.4538,13.00495,1.504334,2.371651,19.74817,67.09041,13.46871,1.550572,2.311748,11.47115,100.6736,8.673172,-1.454318,0.5701153,0.8178399,0.5766349,0.1083071,0.3386699,21.56476,0.3002778,256.8,1.740925,1.668507,150.6487,16.52035,106.1512,4.370428,753.3696,3.263433,11.11348,0.0775599,0.8882962,0.8844976,0.0,0.0,-2.128333,0.3231111,348.651,422.3993,292.792,293.2945,263.0702,26.69476,64.78281,11.30652,2.211765,1.0,18.88712,19.76254,25.79669,27.40369,26.3271,28.23386,27.48071,30.05466,25.91989,26.89466,26.10407,27.17158,45.23064,37.54139,1.912555,46.03154,40.03727,26.70749,26.58711,28.52711,26.86867,26.74715,1.050696,0.5820044,0.00599,0.68225,0.60291,37.77812,108.5401,54.35933,41.07666,150.0,96.89364,Kljun et al,BLS_001,,,
8913,2025-08-23 02:00:00,7514,11.4644,0.1241727,4.0,36000,9.853642,3.0,36000,-15.99046,3.0,36000,-86.64544,-60.68067,-76.56397,-76.67625,-42.43508,-60.73104,-46.997,-50.02284,-46.70263,-19.79383,-43.98268,-32.5891,-26.54113,-29.97362,-22.64124,-16.74836,-14.4079,0.608723,False,-1.622797,0.03360418,1.0,0.1677542,0.0787892,0.1561037,18.99791,68.41479,13.05358,1.509119,2.206202,19.3398,67.05515,13.07146,1.510881,2.253762,18.88839,70.91362,13.49859,1.553578,2.191185,11.52724,100.6712,7.428812,-1.045641,0.3816744,0.6167013,0.3496646,0.04607486,0.2103968,20.74596,0.2465259,256.8,1.250648,1.213951,149.4687,13.87508,107.3313,3.309326,773.0014,4.65811,11.19317,0.06384466,0.8812713,0.8840085,0.0,0.0,-2.432222,0.3347778,333.5389,417.4173,291.7722,292.3469,267.9572,20.86131,72.28411,11.29938,2.78937,1.0,17.86401,18.95733,25.42124,27.10605,25.99413,27.97331,27.08706,29.79869,25.64988,26.66981,25.84555,26.95646,45.15557,37.38441,1.912222,45.89075,39.93149,26.40617,26.27353,28.23003,26.63752,26.50159,1.041274,0.5753378,0.005991111,0.6767311,0.59881,17.42086,613.8999,76.16531,47.15036,150.0,71.41019,KormannMeixner,BLS_001,,,
8914,2025-08-23 02:30:00,7515,11.44718,0.2020887,2.0,36000,18.94929,1.0,36000,-19.55833,1.0,36000,-85.60711,-62.20421,-74.35294,-76.40552,-46.46238,-58.50142,-55.29882,-46.05416,-44.87628,-22.50849,-40.38222,-39.96431,-28.29878,-31.52924,-23.95389,-18.11919,-15.33451,0.05411692,False,-1.032141,0.04191244,1.0,0.1871443,0.08622514,0.1622673,18.45148,68.02728,12.44591,1.450249,2.132007,18.82594,66.54401,12.46544,1.452107,2.182653,18.32541,70.79613,12.93435,1.497432,2.115221,11.13209,100.6742,7.30546,-0.8432687,0.3773923,0.7777117,0.3644544,0.06753295,0.2219971,20.17463,0.2295239,256.8,1.190751,1.147146,137.3161,15.50034,119.4839,2.941136,755.5666,3.707241,10.77667,0.108666,0.8867097,0.8830398,0.0,0.0,-2.322889,0.4174444,331.5722,414.439,291.1578,291.7394,272.6321,15.01757,79.78515,11.29223,3.828875,1.0,17.35263,18.26002,25.04592,26.81187,25.6328,27.71243,26.61301,29.54237,25.38218,26.44792,25.56548,26.73794,45.07483,37.21702,1.885556,45.74175,39.84712,26.11498,25.93675,27.92108,26.41325,26.25743,1.032578,0.5690622,0.005966667,0.6713355,0.5947855,13.33141,436.5362,57.20858,35.68456,150.0,77.23714,KormannMeixner,BLS_001,,,
8915,2025-08-23 03:00:00,7516,11.40899,0.08278047,1.0,36000,12.93042,1.0,36000,-16.77516,1.0,36000,-85.64066,-62.83464,-79.34334,-76.74216,-43.68513,-58.68024,-55.72231,-49.70165,-43.61659,-18.34691,-39.20454,-39.39705,-29.64168,-33.12558,-25.33822,-19.47569,-16.32526,0.6105353,False,-1.297341,0.05033001,1.0,0.2049507,0.06744706,0.2022898,18.11009,69.51859,12.45061,1.45065,2.086731,18.52421,67.83847,12.47224,1.452709,2.141742,17.98613,72.2231,12.91406,1.495398,2.070544,11.12995,100.681,6.890336,-0.5846812,0.4012618,1.04416,0.4309258,0.03065037,0.2405649,19.87201,0.1553929,256.8,1.262558,1.196714,119.2467,18.49772,137.5533,2.935606,758.5941,1.827459,10.79231,0.06032078,0.8860221,0.8823718,0.0,0.0,-2.268222,0.4553333,329.603,412.5201,290.7842,291.36,277.2096,9.215671,87.28661,11.28516,6.156627,1.0,17.04151,17.84662,24.67864,26.51948,25.27762,27.44507,26.16187,29.27847,25.11157,26.21969,25.26892,26.51086,45.00753,37.0591,1.857666,45.59747,39.69237,25.83392,25.59657,27.61038,26.19106,26.01549,1.022981,0.5629399,0.005902222,0.6660744,0.5909377,38.62939,114.9624,56.23068,42.42373,150.0,95.49323,Kljun et al,BLS_001,,,
8916,2025-08-23 03:30:00,7517,11.40757,0.1005749,7.0,36000,8.74293,7.0,36000,-9.111251,7.0,36000,-81.2141,-59.48169,-70.74451,-75.29822,-43.12484,-57.00191,-51.23896,-40.05467,-40.79698,-16.50566,-36.27918,-33.99575,-30.68984,-34.50124,-26.61918,-20.72273,-17.24321,0.03518001,False,-1.042128,0.02782808,8.0,0.1523185,0.04923814,0.2310802,17.83252,71.19232,12.54585,1.459787,2.050645,18.29348,69.2822,12.56995,1.462092,2.11112,17.74846,73.71096,12.99553,1.503411,2.039862,11.19876,100.7059,6.490282,0.08600923,0.6018069,0.4723947,0.2871601,0.007814211,0.1323929,19.64863,0.2395154,256.8,0.7623977,0.4801619,79.68129,49.28336,177.1187,2.309606,767.03,5.483321,10.87067,0.1039207,0.8856441,0.8821318,0.0,0.0,-2.227889,0.3666666,331.7464,410.366,290.4664,291.0545,281.7888,3.5682,94.78824,11.27814,14.75592,1.0,16.51982,17.55705,24.33829,26.23538,24.96021,27.18212,25.7774,29.01339,24.85149,25.99199,24.98401,26.28449,44.93787,36.90938,1.859111,45.47333,39.55523,25.56831,25.28334,27.30951,25.97278,25.77166,1.014713,0.5572867,0.005824444,0.6606289,0.5866688,4.020189,110.9554,19.88708,11.05956,150.0,92.20879,KormannMeixner,BLS_001,,,
8917,2025-08-23 04:00:00,7518,11.39794,0.1712511,7.0,36000,8.984154,7.0,36000,-10.04012,7.0,36000,-79.91434,-57.57829,-67.83289,-71.0527,-43.49385,-57.05501,-48.45697,-36.36612,-35.5965,-15.76588,-35.2719,-30.45034,-31.46677,-35.4562,-27.72797,-21.78312,-18.00663,0.08740425,False,-1.117537,0.02810835,4.0,0.1529793,0.05394129,0.3743078,17.43011,74.56397,12.86135,1.490365,1.999369,17.86758,72.66808,12.88431,1.492594,2.055579,17.3154,77.14047,13.27098,1.530741,1.984955,11.41938,100.7035,5.629842,-0.04421016,0.5335019,0.1506579,0.6726656,0.01043288,0.1072951,19.24915,0.3356571,256.8,0.7358878,0.1570106,106.3541,71.84101,150.4459,2.93576,779.4429,8.79509,11.1138,0.1608804,0.8850899,0.8813053,0.0,0.0,-2.245444,0.3441111,330.7567,408.0814,289.9921,290.59,286.4609,-2.13094,102.2893,11.27099,35.12974,0.1888889,16.06568,16.96598,24.05536,25.97501,24.68872,26.93927,25.4483,28.76159,24.62113,25.78314,24.74162,26.0731,44.87811,36.75798,1.859111,45.33752,39.48737,25.31668,24.99724,27.02026,25.76588,25.54227,1.007109,0.5514522,0.00581,0.6554555,0.5830777,0.3163799,11.50685,4.250404,1.140497,150.0,140.0547,KormannMeixner,BLS_001,,,
8918,2025-08-23 04:30:00,7519,11.42111,0.1548892,4.0,36000,11.31248,4.0,36000,-6.380248,4.0,36000,-80.05122,-61.95552,-75.94397,-74.77927,-44.75262,-59.72944,-54.57232,-43.81028,-38.48847,-16.12109,-37.02606,-35.94439,-32.13369,-36.2908,-28.63153,-22.70338,-18.62793,-1.200861,False,-0.5640008,0.009236998,9.0,0.08761564,0.05974755,0.2257671,16.882,75.83224,12.59274,1.46437,1.931047,17.4686,73.22775,12.62353,1.467322,2.004169,16.85675,78.45618,13.08797,1.512583,1.927972,11.3017,100.7224,5.368462,-0.111255,0.5104657,0.334389,0.4235445,0.01370322,0.107559,18.8245,0.1420763,256.8,0.5597458,0.352413,108.4029,49.29736,148.3971,2.952028,780.5672,5.250125,10.9405,0.1608609,0.8852236,0.8820519,0.0,0.0,-2.226111,0.4734444,329.1062,406.4579,289.4434,290.0751,291.3158,-7.853031,109.7906,11.26385,,0.0,15.80079,16.50311,23.7685,25.72328,24.41219,26.70409,25.17092,28.52188,24.39187,25.58248,24.5058,25.86729,44.82495,36.62729,1.804,45.19924,39.36622,25.07775,24.72163,26.75376,25.56461,25.32327,0.9995278,0.5461855,0.005771111,0.6504233,0.5791355,5.517649,180.4127,26.28717,15.77402,150.0,88.41766,KormannMeixner,BLS_001,,,
8919,2025-08-23 05:00:00,7520,11.40297,0.1693471,9.0,36000,4.236775,9.0,36000,-5.51674,9.0,36000,-75.72733,-58.05623,-68.12928,-69.68001,-43.01962,-56.31789,-53.13436,-35.2542,-32.58983,-13.60951,-32.74449,-33.93704,-32.87508,-37.09018,-29.41011,-23.5734,-19.19732,0.1684596,False,-1.302108,0.007967056,9.0,0.08135648,0.05562269,0.2356049,16.96582,74.71889,12.44745,1.450545,1.941575,17.43683,72.68563,12.4721,1.452877,2.000867,16.83975,77.67795,12.91726,1.495798,1.926193,11.1769,100.7437,5.479896,-0.3520108,0.5686299,0.3469473,0.3729872,0.02501648,0.09354325,18.77892,0.475178,256.8,0.7354407,0.4942507,135.415,46.38642,121.3849,2.634333,786.8578,12.15599,10.83401,0.193674,0.8856491,0.8824287,0.0,0.0,-2.045333,0.3427778,331.8474,405.1866,289.5063,290.0771,296.4448,-13.23318,117.2925,11.2569,,0.0,15.58117,16.25857,23.4788,25.47095,24.15329,26.47361,24.85402,28.285,24.1717,25.38136,24.26433,25.6612,44.77452,36.48777,1.805,45.07607,39.20546,24.84839,24.46957,26.50008,25.36736,25.1077,0.9921989,0.5416155,0.005716666,0.6453833,0.5757922,12.44543,469.0636,56.72361,34.96272,150.0,76.82791,KormannMeixner,BLS_001,,,
